stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
L01,,8 Av,,40.739777,-74.002578,,,1,
L01N,,8 Av,,40.739777,-74.002578,,,0,L01
L01S,,8 Av,,40.739777,-74.002578,,,0,L01
L02,,6 Av,,40.737335,-73.996786,,,1,
L02N,,6 Av,,40.737335,-73.996786,,,0,L02
L02S,,6 Av,,40.737335,-73.996786,,,0,L02
L03,,Union Sq - 14 St,,40.734789,-73.99073,,,1,
L03N,,Union Sq - 14 St,,40.734789,-73.99073,,,0,L03
L03S,,Union Sq - 14 St,,40.734789,-73.99073,,,0,L03
L05,,3 Av,,40.732849,-73.986122,,,1,
L05N,,3 Av,,40.732849,-73.986122,,,0,L05
L05S,,3 Av,,40.732849,-73.986122,,,0,L05
L06,,1 Av,,40.730953,-73.981628,,,1,
L06N,,1 Av,,40.730953,-73.981628,,,0,L06
L06S,,1 Av,,40.730953,-73.981628,,,0,L06
L08,,Bedford Av,,40.717304,-73.956872,,,1,
L08N,,Bedford Av,,40.717304,-73.956872,,,0,L08
L08S,,Bedford Av,,40.717304,-73.956872,,,0,L08
L10,,Lorimer St,,40.714063,-73.950275,,,1,
L10N,,Lorimer St,,40.714063,-73.950275,,,0,L10
L10S,,Lorimer St,,40.714063,-73.950275,,,0,L10
L11,,Graham Av,,40.714565,-73.944053,,,1,
L11N,,Graham Av,,40.714565,-73.944053,,,0,L11
L11S,,Graham Av,,40.714565,-73.944053,,,0,L11
L12,,Grand St,,40.711926,-73.94067,,,1,
L12N,,Grand St,,40.711926,-73.94067,,,0,L12
L12S,,Grand St,,40.711926,-73.94067,,,0,L12
L13,,Montrose Av,,40.707739,-73.93985,,,1,
L13N,,Montrose Av,,40.707739,-73.93985,,,0,L13
L13S,,Montrose Av,,40.707739,-73.93985,,,0,L13
L14,,Morgan Av,,40.706152,-73.933147,,,1,
L14N,,Morgan Av,,40.706152,-73.933147,,,0,L14
L14S,,Morgan Av,,40.706152,-73.933147,,,0,L14
L15,,Jefferson St,,40.706607,-73.922913,,,1,
L15N,,Jefferson St,,40.706607,-73.922913,,,0,L15
L15S,,Jefferson St,,40.706607,-73.922913,,,0,L15
L16,,DeKalb Av,,40.703811,-73.918425,,,1,
L16N,,DeKalb Av,,40.703811,-73.918425,,,0,L16
L16S,,DeKalb Av,,40.703811,-73.918425,,,0,L16
L17,,Myrtle - Wyckoff Avs,,40.699814,-73.911586,,,1,
L17N,,Myrtle - Wyckoff Avs,,40.699814,-73.911586,,,0,L17
L17S,,Myrtle - Wyckoff Avs,,40.699814,-73.911586,,,0,L17
L19,,Halsey St,,40.695602,-73.904084,,,1,
L19N,,Halsey St,,40.695602,-73.904084,,,0,L19
L19S,,Halsey St,,40.695602,-73.904084,,,0,L19
L20,,Wilson Av,,40.688764,-73.904046,,,1,
L20N,,Wilson Av,,40.688764,-73.904046,,,0,L20
L20S,,Wilson Av,,40.688764,-73.904046,,,0,L20
L21,,Bushwick Av - Aberdeen St,,40.682829,-73.905249,,,1,
L21N,,Bushwick Av - Aberdeen St,,40.682829,-73.905249,,,0,L21
L21S,,Bushwick Av - Aberdeen St,,40.682829,-73.905249,,,0,L21
L22,,Broadway Jct,,40.678856,-73.90324,,,1,
L22N,,Broadway Jct,,40.678856,-73.90324,,,0,L22
L22S,,Broadway Jct,,40.678856,-73.90324,,,0,L22
L24,,Atlantic Av,,40.675345,-73.903097,,,1,
L24N,,Atlantic Av,,40.675345,-73.903097,,,0,L24
L24S,,Atlantic Av,,40.675345,-73.903097,,,0,L24
L25,,Sutter Av,,40.669367,-73.901975,,,1,
L25N,,Sutter Av,,40.669367,-73.901975,,,0,L25
L25S,,Sutter Av,,40.669367,-73.901975,,,0,L25
L26,,Livonia Av,,40.664038,-73.900571,,,1,
L26N,,Livonia Av,,40.664038,-73.900571,,,0,L26
L26S,,Livonia Av,,40.664038,-73.900571,,,0,L26
L27,,New Lots Av,,40.658733,-73.899232,,,1,
L27N,,New Lots Av,,40.658733,-73.899232,,,0,L27
L27S,,New Lots Av,,40.658733,-73.899232,,,0,L27
L28,,E 105 St,,40.650573,-73.899485,,,1,
L28N,,E 105 St,,40.650573,-73.899485,,,0,L28
L28S,,E 105 St,,40.650573,-73.899485,,,0,L28
L29,,Canarsie - Rockaway Pkwy,,40.646654,-73.90185,,,1,
L29N,,Canarsie - Rockaway Pkwy,,40.646654,-73.90185,,,0,L29
L29S,,Canarsie - Rockaway Pkwy,,40.646654,-73.90185,,,0,L29
